Month;Province;Grocery_and_pharmacy;Parks;Resedential;Transit_station;Retail_and_Creation;Workplace
December;West Nusa Tenggara;6.71;-11.19;4.55;-22.13;-7.97;-19.29
January;West Nusa Tenggara;-6.81;-22.58;4.87;-41.48;-19.35;-21.87
February;West Nusa Tenggara;-6.88;-24.42;0.63;-29.51;-15.93;-17.16
March;West Papua;-2.45;-14.79;3.45;-19.26;-10.55;-10.45
April;West Papua;-22.8;-38.4;14.6;-67.07;-37.6;-28.13
May;West Papua;-15.74;-36.81;14.52;-63.55;-31.26;-26.19
June;West Papua;-10.43;-29.53;11.67;-55.07;-22.87;-17.23
July;West Papua;-6.45;-32.03;9.9;-46.81;-18.42;-15.23
Augst;West Papua;1.44;-27.65;8.48;-39.19;-14.71;-14.32
September;West Papua;-5.45;-26.5;7.7;-38.35;-17.3;-15.63
October;West Papua;2.61;-24.97;2.65;-36.97;-19.45;-26.13
November;West Papua;5.97;-28.13;-3;-31.1;-16.3;-24.93
December;West Papua;18.26;-35.03;-0.06;-17.23;-8.71;-29.61
January;West Papua;4.45;-45.16;0.97;-30.65;-17.9;-30.26
February;West Papua;1.88;-29.23;-2.4;-21.91;-13.14;-20.37
March;West Sulawesi;-6.61;-19.5;4.29;0.08;-9.66;-12.11
April;West Sulawesi;-22.07;-46.7;13.23;-53.37;-32.93;-27.37
May;West Sulawesi;-12.26;-50.23;13.74;-59.32;-26.61;-20.97
June;West Sulawesi;-2.37;-27.4;9.27;-41.17;-12.4;-7.03
July;West Sulawesi;3;-12.03;8.81;-33.74;-6.39;-8.1
Augst;West Sulawesi;6.13;4.5;6.94;-24.38;-3.06;-7.97
September;West Sulawesi;12.2;12;8.23;-21.95;-7.35;-8.67
October;West Sulawesi;15.58;14.52;4.45;-15.87;-5.16;-19.23
November;West Sulawesi;14.8;7.47;1.33;-23.33;-4.7;-17.27
December;West Sulawesi;22.48;12.16;4.68;-15.29;0.23;-20.77
January;West Sulawesi;6.13;-9.29;3.97;-5.39;-14.9;-33.61
February;West Sulawesi;-2.95;-11.4;-0.09;7.77;-10.91;-20.49
March;West Sumatra;0.18;-18.29;4.84;-17.05;-11.29;-9.58
April;West Sumatra;-20.33;-45.37;14.83;-52.8;-39.17;-33.57
May;West Sumatra;-10.39;-38.68;15.32;-54.97;-35.19;-33.48
June;West Sumatra;-1.5;-13.3;9.03;-41.5;-16.3;-19.47
July;West Sumatra;5.03;-5.42;7.45;-32.13;-6.9;-17.03
Augst;West Sumatra;9.42;5.87;6.39;-27.77;-2.87;-17.23
September;West Sumatra;2;-15.1;10.43;-32.4;-13.4;-16.57
October;West Sumatra;7.55;-11.23;8.16;-27.68;-14.19;-24.61
November;West Sumatra;8.63;-19.8;5.57;-25.13;-12.87;-21.93
December;West Sumatra;22.42;6.97;7.29;-9.77;-1.9;-23.39
January;West Sumatra;12.97;-13.65;6.45;-23.71;-11.16;-22.97
February;West Sumatra;6.77;-13.49;1.28;-17.79;-8.14;-12.81
