Month;Province;Grocery_and_pharmacy;Parks;Resedential;Transit_station;Retail_and_Creation;Workplace
April;Central Sulawesi;-19.73;-9;12.7;-55.6;-36.3;-23.27
May;Central Sulawesi;-6.97;-7.77;11.97;-58.65;-27.55;-20.42
June;Central Sulawesi;-6.47;-5.3;8.97;-43.5;-16.97;-9.63
July;Central Sulawesi;-0.26;-5.32;7.94;-32.9;-8.1;-10.16
Augst;Central Sulawesi;5.32;10.74;6.13;-24;-2;-9.81
September;Central Sulawesi;3.63;7.97;6.97;-30.55;-4.43;-8.83
October;Central Sulawesi;4.32;7.23;4.45;-37.81;-9.55;-18.87
November;Central Sulawesi;5.5;0.93;0.87;-18.77;-5.77;-18.67
December;Central Sulawesi;15.45;9.32;3.42;-10.97;-0.1;-22.13
January;Central Sulawesi;0.81;7.58;5.06;-25.97;-12.19;-25.13
February;Central Sulawesi;-1;-4.86;0.4;-14.26;-8.28;-16.47
March;East Java;-0.76;-18.24;5.58;-19.97;-11.66;-11.63
April;East Java;-16.13;-37.67;14.97;-50.93;-30.63;-28.47
May;East Java;-11.81;-36.9;17.06;-57.39;-29.97;-32.42
June;East Java;-5.87;-22.73;13.17;-44.47;-16.93;-19.73
July;East Java;-3.55;-17.61;12.65;-38.1;-13.19;-18.81
Augst;East Java;-0.61;-8.55;11.48;-32.19;-10.29;-18.23
September;East Java;-0.9;-8.9;11.37;-32.33;-11.73;-15.8
October;East Java;1.52;-4.61;8.58;-28.23;-12.29;-20.03
November;East Java;1.57;-9.63;5.4;-27.07;-11.63;-18.2
December;East Java;3.84;-8.61;9.03;-22.97;-12.71;-22.68
January;East Java;-9.58;-25.32;10.19;-40.16;-23.42;-26.19
February;East Java;-4.07;-20.81;3.77;-24.91;-14.53;-15.91
March;East Kalimantan;-0.74;-15.55;4.63;-17.13;-14.58;-10.97
April;East Kalimantan;-19.13;-34.23;13.93;-54.13;-39.8;-25.97
May;East Kalimantan;-6.26;-22.16;13.58;-57.52;-30.55;-25.48
June;East Kalimantan;-4.37;-10.73;10.23;-43.13;-19.2;-14.37
July;East Kalimantan;-1.61;-9.13;9.55;-35.48;-14.35;-14.9
Augst;East Kalimantan;-2.45;-6.52;9.65;-32.45;-15.97;-16.97
September;East Kalimantan;-1.13;-13.73;10.13;-34.63;-18.9;-17.1
October;East Kalimantan;4.26;-10.77;6.55;-30.19;-17.84;-21.26
November;East Kalimantan;2.63;-11.6;3.27;-25.1;-15.4;-19.5
December;East Kalimantan;9.74;-6.61;4.77;-18.19;-11.81;-22
January;East Kalimantan;-2.45;-18.39;5.81;-32.35;-22.45;-24.94
February;East Kalimantan;-1.37;-18.72;1.42;-22.58;-16.21;-17.51
March;East Nusa Tenggara;-5.68;-8.68;4;-6.11;-13.32;-8.79
April;East Nusa Tenggara;-20.1;-21.27;12.03;-44.63;-35.57;-24.1
May;East Nusa Tenggara;-16.74;-17.84;12.45;-59.23;-33.06;-18.48
June;East Nusa Tenggara;-5.77;-5.7;7.97;-40.8;-18.5;-7.27
July;East Nusa Tenggara;1.71;1.26;5.87;-19.39;-6.84;-6.1
Augst;East Nusa Tenggara;9.16;15.39;4.29;-11.75;-2.29;-4.87
September;East Nusa Tenggara;7.5;11.93;5;-2.8;-2.9;-2
October;East Nusa Tenggara;10.1;17.06;1.55;-6.94;-5.03;-12.39
November;East Nusa Tenggara;11.83;6.93;-2.13;0.5;-2.5;-10.57
December;East Nusa Tenggara;19.68;6.55;2.29;7.94;0.35;-16.87
January;East Nusa Tenggara;-5.29;-7.52;7.16;-19.1;-22.81;-24.32
February;East Nusa Tenggara;-7.74;-13.65;2.86;-15.21;-20.07;-17.37
March;Gorontalo;2;15.34;4;-19.88;-6.82;-7.63
April;Gorontalo;-18.77;-21.1;15.33;-42.67;-34.03;-29.77
May;Gorontalo;-19.26;-20.06;17.71;-52.93;-36;-30.32
June;Gorontalo;-12.63;1.17;13.4;-40.25;-20.43;-18.07
July;Gorontalo;-6.84;13.06;11.61;-33.14;-9.87;-16
Augst;Gorontalo;-1.61;22;10.39;-28.6;-3.58;-15.94
September;Gorontalo;3.8;40.05;8.27;-10.33;0;-10.97
October;Gorontalo;10.42;46.03;4.1;-9.63;4.26;-17.26
November;Gorontalo;9.53;31.4;1.07;-4.06;6.07;-11.63
December;Gorontalo;16.81;36.1;4.61;0.06;10.06;-16.77
January;Gorontalo;-0.03;13.13;5.23;1.11;-4.81;-19.65
February;Gorontalo;1.16;17.14;0.4;-6.64;-3.37;-13.28
March;Jakarta;-4.76;-27.39;8.84;-27.08;-21.92;-16.11
April;Jakarta;-29.83;-55.67;22.93;-67.23;-56.7;-46
May;Jakarta;-21.19;-85.61;22.39;-64.65;-54.9;-46.9
June;Jakarta;-12.97;-86.03;16.17;-50.97;-38.63;-32.47
July;Jakarta;-7.97;-72.39;13.45;-41.97;-28.13;-29.32
Augst;Jakarta;-9.87;-62.06;12.58;-40.84;-28.32;-30.1
September;Jakarta;-13.47;-61.83;14.9;-45.6;-35;-30.27
October;Jakarta;-12.81;-55;14.03;-42.58;-37.16;-31.45
November;Jakarta;-10.27;-50.53;11.13;-36.83;-29.8;-26.5
