Month;Province;Mobility_change
December;North Sumatra;7.35
January;North Sumatra;-4.03
February;North Sumatra;-1.35
March;Papua;-9.24
April;Papua;-34.4
May;Papua;-27.71
June;Papua;-20.47
July;Papua;-12.77
Augst;Papua;-8.71
September;Papua;-8.63
October;Papua;-0.9
November;Papua;-0.2
December;Papua;13.71
January;Papua;-4.16
February;Papua;-5.77
March;Riau;-3.05
April;Riau;-23.2
May;Riau;-12.48
June;Riau;-5.1
July;Riau;-3.68
Augst;Riau;-1.52
September;Riau;-3.93
October;Riau;-0.61
November;Riau;-1.67
December;Riau;5.9
January;Riau;-4.77
February;Riau;-1.51
March;Riau Islands;-2.58
April;Riau Islands;-20.87
May;Riau Islands;-15.52
June;Riau Islands;-15
July;Riau Islands;-10.74
Augst;Riau Islands;-10.55
September;Riau Islands;-12.27
October;Riau Islands;-8.84
November;Riau Islands;-11
December;Riau Islands;-5.81
January;Riau Islands;-17.48
February;Riau Islands;-7.37
March;South East Sulawesi;-3.66
April;South East Sulawesi;-22.73
May;South East Sulawesi;-10.71
June;South East Sulawesi;-3.3
July;South East Sulawesi;5.42
Augst;South East Sulawesi;10.84
September;South East Sulawesi;8.77
October;South East Sulawesi;11.61
November;South East Sulawesi;12.3
December;South East Sulawesi;22.29
January;South East Sulawesi;12.77
February;South East Sulawesi;7.58
March;South Kalimantan;0.08
April;South Kalimantan;-19.37
May;South Kalimantan;-16.52
June;South Kalimantan;-12
July;South Kalimantan;-7.35
Augst;South Kalimantan;-4
September;South Kalimantan;-3.83
October;South Kalimantan;1.13
November;South Kalimantan;0.4
December;South Kalimantan;6.29
January;South Kalimantan;-7.77
February;South Kalimantan;-2.93
March;South Sulawesi;-1.05
April;South Sulawesi;-24.27
May;South Sulawesi;-17.48
June;South Sulawesi;-8.6
July;South Sulawesi;-3.16
Augst;South Sulawesi;2.52
September;South Sulawesi;4.67
October;South Sulawesi;9.77
November;South Sulawesi;8.03
December;South Sulawesi;11.71
January;South Sulawesi;-2
February;South Sulawesi;0.4
March;South Sumatra;-0.13
April;South Sumatra;-19.17
May;South Sumatra;-16.19
June;South Sumatra;-10.23
July;South Sumatra;-2.32
Augst;South Sumatra;0.45
September;South Sumatra;0.83
October;South Sumatra;3.65
November;South Sumatra;2.47
December;South Sumatra;7.52
January;South Sumatra;-3.16
February;South Sumatra;0.16
March;Special Region of Yogyakarta;-7.37
April;Special Region of Yogyakarta;-31.73
May;Special Region of Yogyakarta;-30.87
June;Special Region of Yogyakarta;-22.97
July;Special Region of Yogyakarta;-17.81
Augst;Special Region of Yogyakarta;-12.68
September;Special Region of Yogyakarta;-12.3
October;Special Region of Yogyakarta;-7.58
November;Special Region of Yogyakarta;-9.43
December;Special Region of Yogyakarta;-6.13
January;Special Region of Yogyakarta;-18.84
February;Special Region of Yogyakarta;-10.77
March;West Java;-0.68
April;West Java;-20.47
May;West Java;-6.45
June;West Java;1.83
July;West Java;6.13
Augst;West Java;7.61
September;West Java;2.87
October;West Java;4.55
November;West Java;3.83
December;West Java;8.1
January;West Java;-5.16
February;West Java;-0.07
March;West Kalimantan;-8.68
April;West Kalimantan;-25.53
May;West Kalimantan;-17.06
June;West Kalimantan;-12.63
July;West Kalimantan;-6.94
Augst;West Kalimantan;-4.42
September;West Kalimantan;-8.7
October;West Kalimantan;-4.94
November;West Kalimantan;-7.63
December;West Kalimantan;0.58
January;West Kalimantan;-13.52
February;West Kalimantan;-6.6
March;West Nusa Tenggara;-4.5
April;West Nusa Tenggara;-20.97
May;West Nusa Tenggara;-13.48
June;West Nusa Tenggara;-7.2
July;West Nusa Tenggara;-2.97
Augst;West Nusa Tenggara;-0.13
September;West Nusa Tenggara;0.6
October;West Nusa Tenggara;5.84
November;West Nusa Tenggara;3.73
December;West Nusa Tenggara;6.71
January;West Nusa Tenggara;-6.81
February;West Nusa Tenggara;-6.88
March;West Papua;-2.45
April;West Papua;-22.8
May;West Papua;-15.74
June;West Papua;-10.43
July;West Papua;-6.45
Augst;West Papua;1.44
September;West Papua;-5.45
October;West Papua;2.61
November;West Papua;5.97
December;West Papua;18.26
January;West Papua;4.45
February;West Papua;1.88
March;West Sulawesi;-6.61
April;West Sulawesi;-22.07
May;West Sulawesi;-12.26
June;West Sulawesi;-2.37
July;West Sulawesi;3
Augst;West Sulawesi;6.13
September;West Sulawesi;12.2
October;West Sulawesi;15.58
November;West Sulawesi;14.8
December;West Sulawesi;22.48
January;West Sulawesi;6.13
February;West Sulawesi;-2.95
March;West Sumatra;0.18
April;West Sumatra;-20.33
May;West Sumatra;-10.39
June;West Sumatra;-1.5
July;West Sumatra;5.03
Augst;West Sumatra;9.42
September;West Sumatra;2
October;West Sumatra;7.55
November;West Sumatra;8.63
December;West Sumatra;22.42
January;West Sumatra;12.97
February;West Sumatra;6.77
